video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
vid_0,23.06.05,tutorial best tutorial best review video daily make tutorial tutorial,Channel 14,1,2023-04-13T00:00:00.000Z,make|how|how|make|how|new|vlog,892798,24266,335,3496,http://example.com,False,False,False
vid_1,23.17.12,best to daily best vlog awesome best make daily vlog awesome,Channel 28,8,2023-12-15T00:00:00.000Z,,5331,44443,335,3917,http://example.com,False,False,False
vid_2,23.15.10,vlog how daily tutorial vlog video,Channel 11,8,2023-09-28T00:00:00.000Z,how|video|make,518400,11324,980,4842,http://example.com,False,False,False
vid_3,23.15.05,make video new new awesome tutorial,Channel 39,6,2023-04-17T00:00:00.000Z,best|review,184258,662,921,2484,http://example.com,False,False,False
vid_4,23.09.04,vlog to make how daily video review new review make to vlog,Channel 25,12,2023-03-13T00:00:00.000Z,how|to|new|tutorial,832080,16192,888,1854,http://example.com,False,False,False
vid_5,23.28.07,to make to,Channel 21,5,2023-07-08T00:00:00.000Z,make|awesome|best|best|awesome|vlog,291693,41590,739,3439,http://example.com,False,False,False
vid_6,23.14.02,make best how review new best vlog best,Channel 10,8,2023-01-21T00:00:00.000Z,video|to|review|how|best,213854,36568,146,3231,http://example.com,False,False,False
vid_7,23.25.04,tutorial new to how new,Channel 43,3,2023-04-13T00:00:00.000Z,review|review|awesome|to|tutorial|awesome|tutorial,551049,15669,121,2597,http://example.com,False,False,False
vid_8,23.20.05,video how review how make make awesome new,Channel 15,3,2023-05-02T00:00:00.000Z,best|new|review|how|tutorial,790694,34423,80,3983,http://example.com,False,False,False
vid_9,23.06.08,tutorial vlog video review new daily tutorial to,Channel 19,2,2023-08-03T00:00:00.000Z,vlog|make|vlog|make,505840,10445,684,2191,http://example.com,False,False,False
vid_10,23.25.12,daily make how tutorial how awesome how awesome,Channel 48,5,2023-11-27T00:00:00.000Z,to,969763,28077,665,2635,http://example.com,False,False,False
vid_11,23.30.03,awesome daily make to review how review tutorial awesome make video new daily to,Channel 22,3,2023-03-29T00:00:00.000Z,new|best|awesome|how|best|review|best|make,860004,22268,661,656,http://example.com,False,False,True
vid_12,23.11.04,daily video new video how awesome to vlog awesome,Channel 21,3,2023-04-10T00:00:00.000Z,review|make|daily|tutorial|how|tutorial|awesome,781080,28297,374,3812,http://example.com,False,False,False
vid_13,24.24.01,review new make best tutorial awesome to video to new review,Channel 44,6,2023-12-26T00:00:00.000Z,to|awesome|awesome|video|how|make|new|tutorial|awesome,185544,3698,569,3340,http://example.com,False,False,False
vid_14,23.20.06,video tutorial tutorial awesome new make new review vlog to tutorial,Channel 32,8,2023-06-01T00:00:00.000Z,tutorial|to,351002,7699,62,3911,http://example.com,False,False,False
vid_15,23.22.05,to to tutorial review daily how vlog,Channel 23,2,2023-05-11T00:00:00.000Z,how|vlog|best,85667,1389,503,1796,http://example.com,False,False,False
vid_16,23.04.06,vlog video new new best new tutorial make awesome best awesome vlog,Channel 13,4,2023-05-30T00:00:00.000Z,tutorial|make|tutorial,5677,37021,667,4363,http://example.com,False,False,False
vid_17,23.17.11,awesome best video,Channel 5,11,2023-11-05T00:00:00.000Z,review|review|vlog|make|how,205580,43015,448,1762,http://example.com,False,False,False
